num_stations, average_power, percent_connected,
2, 6.953650215567558E14, 0.11571, 
3, 7.396615204030684E14, 0.02768, 
4, 7.940444983347364E14, 0.01088, 
5, 8.479822470857242E14, 0.00549, 
6, 9.041121826560014E14, 0.00319, 
7, 9.652470930267641E14, 0.00225, 
8, 1.0316032193281682E15, 0.00213, 
9, 1.0972834010226739E15, 0.00179, 
10, 1.1683240790641828E15, 0.00157, 
11, 1.2443539449953775E15, 0.00168, 
12, 1.3243891897362998E15, 0.00192, 
13, 1.399338996014495E15, 0.00181, 
14, 1.4837887583685562E15, 0.00226, 
15, 1.5660558526263332E15, 0.00239, 
16, 1.6479376161841882E15, 0.00305, 
17, 1.7287539945787285E15, 0.00354, 
18, 1.8094251543973322E15, 0.00456, 
19, 1.8911302746742095E15, 0.00599, 
20, 1.9691012804023042E15, 0.00741, 
21, 2.0391461729930492E15, 0.00878, 
22, 2.113198921781844E15, 0.01106, 
23, 2.1756163742941118E15, 0.01413, 
24, 2.2397102993445748E15, 0.01735, 
25, 2.298357108679978E15, 0.02161, 
