Mean	Resp	Resp
Pkt	Time	Time	Pkts	Pkts	Drop
Rate	Mean	Stddev	Proc'd	Drop'd	Frac
0.500	0.584	0.529	299894	106	0.000
1.000	0.693	0.700	298957	1043	0.003
1.500	0.856	0.972	295225	4775	0.016
2.000	1.080	1.312	284826	15174	0.051
2.500	1.314	1.634	265403	34597	0.115
3.000	1.520	1.876	239182	60818	0.203
3.500	1.661	2.036	211615	88385	0.295
4.000	1.746	2.117	188603	111397	0.371
4.500	1.809	2.162	165890	134110	0.447
5.000	1.826	2.160	149749	150251	0.501
5.500	1.836	2.145	135583	164417	0.548
6.000	1.831	2.111	122979	177021	0.590
6.500	1.821	2.072	112935	187065	0.624
7.000	1.802	2.027	104635	195365	0.651
7.500	1.805	2.009	96917	203083	0.677
8.000	1.808	1.971	89652	210348	0.701
8.500	1.786	1.944	84381	215619	0.719
9.000	1.769	1.893	78747	221253	0.738
9.500	1.757	1.860	74215	225785	0.753
10.000	1.744	1.826	70487	229513	0.765
