Mean	Resp	Resp
Pkt	Time	Time	Pkts	Pkts	Drop
Rate	Mean	Stddev	Proc'd	Drop'd	Frac
0.500	0.843	0.737	299891	109	0.000
1.000	0.950	0.886	298912	1088	0.004
1.500	1.114	1.133	295265	4735	0.016
2.000	1.341	1.462	284818	15182	0.051
2.500	1.582	1.779	265159	34841	0.116
3.000	1.796	2.032	238476	61524	0.205
3.500	1.931	2.175	212155	87845	0.293
4.000	2.035	2.271	187441	112559	0.375
4.500	2.087	2.283	167193	132807	0.443
5.000	2.120	2.299	149878	150122	0.500
5.500	2.125	2.263	135417	164583	0.549
6.000	2.131	2.225	123196	176804	0.589
6.500	2.132	2.211	113134	186866	0.623
7.000	2.129	2.169	104249	195751	0.653
7.500	2.120	2.126	96833	203167	0.677
8.000	2.102	2.089	90122	209878	0.700
8.500	2.112	2.050	84052	215948	0.720
9.000	2.096	2.021	78862	221138	0.737
9.500	2.097	1.990	74443	225557	0.752
10.000	2.086	1.962	70107	229893	0.766
10.500	2.066	1.918	66850	233150	0.777
11.000	2.073	1.909	63738	236262	0.788
11.500	2.071	1.879	60406	239594	0.799
12.000	2.046	1.825	57881	242119	0.807
12.500	2.049	1.811	54867	245133	0.817
13.000	2.049	1.802	52821	247179	0.824
13.500	2.041	1.766	50536	249464	0.832
14.000	2.038	1.749	48488	251512	0.838
14.500	2.037	1.741	46811	253189	0.844
15.000	2.031	1.718	44928	255072	0.850
15.500	2.012	1.686	43808	256192	0.854
16.000	2.020	1.668	41857	258143	0.860
16.500	2.031	1.673	40497	259503	0.865
17.000	2.014	1.633	39232	260768	0.869
17.500	1.998	1.622	38175	261825	0.873
18.000	2.006	1.598	36995	263005	0.877
18.500	2.005	1.594	36016	263984	0.880
19.000	1.996	1.574	34852	265148	0.884
19.500	2.003	1.562	33884	266116	0.887
20.000	1.998	1.543	32961	267039	0.890
20.500	1.999	1.516	31952	268048	0.893
21.000	1.996	1.507	31110	268890	0.896
21.500	2.003	1.509	30328	269672	0.899
22.000	1.988	1.481	29587	270413	0.901
22.500	1.973	1.464	29029	270971	0.903
23.000	1.995	1.452	28197	271803	0.906
23.500	1.962	1.435	27743	272257	0.908
24.000	1.974	1.409	26764	273236	0.911
24.500	2.005	1.445	26310	273690	0.912
25.000	1.968	1.402	25744	274256	0.914
25.500	1.976	1.400	25294	274706	0.916
26.000	1.970	1.385	24844	275156	0.917
26.500	1.953	1.383	24292	275708	0.919
27.000	1.939	1.353	23767	276233	0.921
27.500	1.971	1.365	23270	276730	0.922
28.000	1.966	1.354	22813	277187	0.924
28.500	1.962	1.344	22446	277554	0.925
29.000	1.980	1.321	21776	278224	0.927
29.500	1.980	1.320	21497	278503	0.928
30.000	1.949	1.307	21314	278686	0.929
30.500	1.973	1.318	20846	279154	0.931
31.000	1.948	1.290	20537	279463	0.932
31.500	1.950	1.276	20128	279872	0.933
32.000	1.948	1.272	19759	280241	0.934
32.500	1.965	1.279	19470	280530	0.935
33.000	1.944	1.268	19298	280702	0.936
33.500	1.952	1.265	18950	281050	0.937
34.000	1.947	1.236	18576	281424	0.938
34.500	1.952	1.237	18251	281749	0.939
35.000	1.917	1.236	18094	281906	0.940
35.500	1.928	1.251	17954	282046	0.940
36.000	1.950	1.235	17383	282617	0.942
36.500	1.941	1.218	17213	282787	0.943
37.000	1.947	1.205	17016	282984	0.943
37.500	1.934	1.219	16890	283110	0.944
38.000	1.935	1.199	16475	283525	0.945
38.500	1.933	1.199	16305	283695	0.946
39.000	1.948	1.196	16014	283986	0.947
39.500	1.933	1.178	15919	284081	0.947
40.000	1.952	1.177	15568	284432	0.948
40.500	1.934	1.192	15545	284455	0.948
41.000	1.951	1.186	15293	284707	0.949
41.500	1.946	1.171	15098	284902	0.950
42.000	1.935	1.143	14879	285121	0.950
42.500	1.932	1.142	14703	285297	0.951
43.000	1.921	1.148	14517	285483	0.952
43.500	1.901	1.137	14412	285588	0.952
44.000	1.942	1.143	14132	285868	0.953
44.500	1.909	1.143	14123	285877	0.953
45.000	1.936	1.126	13837	286163	0.954
45.500	1.923	1.118	13693	286307	0.954
46.000	1.926	1.120	13571	286429	0.955
46.500	1.936	1.120	13322	286678	0.956
47.000	1.943	1.119	13213	286787	0.956
47.500	1.927	1.095	13008	286992	0.957
48.000	1.927	1.099	12961	287039	0.957
48.500	1.918	1.097	12812	287188	0.957
49.000	1.900	1.120	12809	287191	0.957
49.500	1.915	1.108	12669	287331	0.958
50.000	1.937	1.097	12425	287575	0.959
