Mean	Resp	Resp
Pkt	Time	Time	Pkts	Pkts	Drop
Rate	Mean	Stddev	Proc'd	Drop'd	Frac
0.500	1.628	1.327	398024	101976	0.204
1.000	1.719	1.383	330504	169496	0.339
1.500	1.842	1.559	282182	217818	0.436
2.000	2.049	1.925	246997	253003	0.506
2.500	2.462	2.565	216410	283590	0.567
3.000	3.026	3.269	188119	311881	0.624
3.500	3.733	3.943	160726	339274	0.679
4.000	4.286	4.393	138717	361283	0.723
4.500	4.874	4.835	118330	381670	0.763
5.000	5.189	5.068	104671	395329	0.791
5.500	5.495	5.279	92765	407235	0.814
6.000	5.749	5.481	83550	416450	0.833
6.500	5.928	5.609	76039	423961	0.848
7.000	6.074	5.727	69707	430293	0.861
7.500	6.211	5.836	64368	435632	0.871
8.000	6.334	5.931	59965	440035	0.880
8.500	6.434	6.037	55990	444010	0.888
9.000	6.525	6.147	52400	447600	0.895
9.500	6.636	6.256	49171	450829	0.902
10.000	6.675	6.340	46819	453181	0.906
10.500	6.720	6.358	44395	455605	0.911
11.000	6.863	6.497	41947	458053	0.916
11.500	6.876	6.580	40111	459889	0.920
12.000	6.889	6.598	38421	461579	0.923
12.500	6.971	6.684	36728	463272	0.927
13.000	7.012	6.757	35279	464721	0.929
13.500	6.976	6.818	34132	465868	0.932
14.000	7.040	6.843	32676	467324	0.935
14.500	7.090	6.908	31399	468601	0.937
15.000	7.133	6.992	30318	469682	0.939
15.500	7.121	7.134	29496	470504	0.941
16.000	7.138	6.964	28482	471518	0.943
16.500	7.182	7.070	27561	472439	0.945
17.000	7.176	7.142	26853	473147	0.946
17.500	7.274	7.335	25855	474145	0.948
18.000	7.162	7.138	25399	474601	0.949
18.500	7.191	7.277	24708	475292	0.951
19.000	7.291	7.450	23900	476100	0.952
19.500	7.308	7.377	23203	476797	0.954
20.000	7.309	7.529	22758	477242	0.954
20.500	7.296	7.539	22183	477817	0.956
21.000	7.295	7.472	21635	478365	0.957
21.500	7.378	7.591	20987	479013	0.958
22.000	7.284	7.410	20658	479342	0.959
22.500	7.388	7.683	20146	479854	0.960
23.000	7.382	7.805	19698	480302	0.961
23.500	7.392	7.782	19265	480735	0.961
24.000	7.331	7.645	18981	481019	0.962
24.500	7.355	7.735	18607	481393	0.963
25.000	7.348	7.692	18242	481758	0.964
25.500	7.399	7.858	17798	482202	0.964
26.000	7.417	7.749	17464	482536	0.965
26.500	7.407	8.025	17181	482819	0.966
27.000	7.477	8.027	16761	483239	0.966
27.500	7.431	7.848	16488	483512	0.967
28.000	7.375	7.857	16343	483657	0.967
28.500	7.423	7.936	15953	484047	0.968
29.000	7.450	8.166	15662	484338	0.969
29.500	7.391	7.954	15491	484509	0.969
30.000	7.471	8.215	15144	484856	0.970
30.500	7.530	8.527	14889	485111	0.970
31.000	7.424	8.099	14753	485247	0.970
31.500	7.462	8.234	14455	485545	0.971
32.000	7.453	8.470	14304	485696	0.971
32.500	7.490	8.155	13922	486078	0.972
33.000	7.497	8.286	13795	486205	0.972
33.500	7.496	8.362	13582	486418	0.973
34.000	7.441	8.621	13543	486457	0.973
34.500	7.463	8.338	13308	486692	0.973
35.000	7.487	8.405	13043	486957	0.974
35.500	7.521	8.449	12820	487180	0.974
36.000	7.522	8.359	12602	487398	0.975
36.500	7.489	8.406	12470	487530	0.975
37.000	7.481	8.468	12376	487624	0.975
37.500	7.449	8.256	12228	487772	0.976
38.000	7.488	8.509	12042	487958	0.976
38.500	7.473	8.711	11903	488097	0.976
39.000	7.514	8.633	11724	488276	0.977
39.500	7.507	8.580	11584	488416	0.977
40.000	7.547	8.791	11407	488593	0.977
40.500	7.459	8.581	11347	488653	0.977
41.000	7.496	8.374	11159	488841	0.978
41.500	7.523	8.652	11021	488979	0.978
42.000	7.535	8.720	10907	489093	0.978
42.500	7.453	8.513	10888	489112	0.978
43.000	7.444	8.512	10730	489270	0.979
43.500	7.586	8.459	10432	489568	0.979
44.000	7.548	8.796	10397	489603	0.979
44.500	7.435	8.534	10383	489617	0.979
45.000	7.524	8.841	10204	489796	0.980
45.500	7.570	8.793	10043	489957	0.980
46.000	7.454	8.705	10091	489909	0.980
46.500	7.555	8.929	9882	490118	0.980
47.000	7.527	8.599	9730	490270	0.981
47.500	7.491	8.739	9703	490297	0.981
48.000	7.487	8.677	9573	490427	0.981
48.500	7.541	8.855	9498	490502	0.981
49.000	7.558	9.138	9423	490577	0.981
49.500	7.510	8.697	9295	490705	0.981
50.000	7.475	8.473	9173	490827	0.982
