Mean	Resp	Resp
Pkt	Time	Time	Pkts	Pkts	Drop
Rate	Mean	Stddev	Proc'd	Drop'd	Frac
0.250	0.545	0.477	199988	12	0.000
0.500	0.584	0.528	199914	86	0.000
0.750	0.634	0.601	199733	267	0.001
1.000	0.693	0.700	199297	703	0.004
1.250	0.769	0.827	198438	1562	0.008
1.500	0.857	0.968	196842	3158	0.016
1.750	0.955	1.125	194285	5715	0.029
2.000	1.080	1.315	190008	9992	0.050
2.250	1.193	1.475	184342	15658	0.078
2.500	1.308	1.625	177013	22987	0.115
2.750	1.429	1.770	168159	31841	0.159
3.000	1.522	1.890	159517	40483	0.202
3.250	1.600	1.971	150491	49509	0.248
3.500	1.646	2.024	141720	58280	0.291
3.750	1.711	2.094	133411	66589	0.333
4.000	1.756	2.127	124478	75522	0.378
4.250	1.780	2.149	117783	82217	0.411
4.500	1.800	2.157	111721	88279	0.441
4.750	1.817	2.159	105090	94910	0.475
5.000	1.832	2.156	100095	99905	0.500
5.250	1.823	2.140	94687	105313	0.527
5.500	1.836	2.146	89897	110103	0.551
5.750	1.833	2.128	86152	113848	0.569
6.000	1.836	2.116	82029	117971	0.590
6.250	1.824	2.087	78553	121447	0.607
6.500	1.823	2.069	74898	125102	0.626
6.750	1.819	2.071	72386	127614	0.638
7.000	1.820	2.058	69938	130062	0.650
7.250	1.815	2.020	66446	133554	0.668
7.500	1.808	2.032	64597	135403	0.677
7.750	1.789	1.982	62332	137668	0.688
8.000	1.806	1.983	60000	140000	0.700
8.250	1.786	1.960	57942	142058	0.710
8.500	1.762	1.913	56297	143703	0.719
8.750	1.782	1.917	54093	145907	0.730
9.000	1.774	1.903	52575	147425	0.737
9.250	1.764	1.871	51136	148864	0.744
9.500	1.748	1.849	49649	150351	0.752
9.750	1.767	1.856	48059	151941	0.760
10.000	1.745	1.829	47042	152958	0.765
